Reading,Spelling,Comprehension,Mathematics,Remarks
30,46,27,73,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
33,36,35,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
60,44,35,79,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
45,47,33,26,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
78,88,73,69,['Child is very Inteligent']
92,31,26,57,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
94,30,27,57,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
33,28,21,47,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,48,48,51,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
96,48,78,91,['Practice wide and wild reading to improve vocabulary']
94,47,46,93,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
45,78,58,93,"['Practice, the more  you read the better reader you become, do feed your mind']"
36,78,58,86,"['Practice, the more  you read the better reader you become, do feed your mind']"
45,38,47,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
40,45,44,37,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
88,43,43,86,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
48,43,42,39,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
37,45,41,51,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
45,46,42,37,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
79,74,56,80,['Child is very Inteligent']
45,37,36,39,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
37,36,41,77,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
45,42,36,33,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
72,58,85,55,['Child is very Inteligent']
75,58,78,85,['Child is very Inteligent']
76,56,34,54,"['Practice, the more  you read the better reader you become, do feed your mind']"
84,40,68,79,['Practice wide and wild reading to improve vocabulary']
78,30,44,74,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
81,33,35,68,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
33,49,48,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,31,34,55,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
37,33,40,43,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,43,47,54,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
55,65,74,66,['Child is very Inteligent']
58,70,54,59,['Child is very Inteligent']
57,73,52,70,['Child is very Inteligent']
65,48,60,63,['Practice wide and wild reading to improve vocabulary']
59,63,71,64,['Child is very Inteligent']
52,78,80,59,['Child is very Inteligent']
38,38,38,76,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
47,32,30,62,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
22,16,25,41,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
70,75,58,68,['Child is very Inteligent']
78,46,50,96,"['Practice wide and wild reading to improve vocabulary', 'Child is inteligent but needs help from guidane also']"
37,47,48,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
67,45,48,93,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
23,43,49,37,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
33,43,47,39,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
36,45,48,47,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
49,45,43,38,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
74,58,66,87,['Child is very Inteligent']
68,85,66,88,['Child is very Inteligent']
97,58,85,80,['Child is very Inteligent']
35,40,46,86,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
73,45,37,82,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
25,39,42,36,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
69,75,58,89,['Child is very Inteligent']
45,42,40,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Child is inteligent but needs help from guidane also']"
45,37,48,37,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
68,70,54,57,['Child is very Inteligent']
37,39,42,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
65,70,88,50,['Child is inteligent but needs help from guidane also']
22,36,45,35,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,33,27,49,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
78,65,56,70,['Child is very Inteligent']
41,49,43,37,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
35,45,50,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Child is inteligent but needs help from guidane also']"
55,51,76,67,['Child is very Inteligent']
34,46,26,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,33,27,49,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
78,58,56,55,['Child is very Inteligent']
70,65,70,62,['Child is very Inteligent']
35,45,50,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Child is inteligent but needs help from guidane also']"
28,46,35,81,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
42,22,35,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,51,43,33,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
68,75,70,55,['Child is very Inteligent']
37,40,48,33,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
56,68,70,69,['Child is very Inteligent']
45,33,27,49,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
47,32,56,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
41,49,43,22,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
35,45,50,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Child is inteligent but needs help from guidane also']"
50,66,65,78,['Child is inteligent but needs help from guidane also']
42,22,35,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,51,43,33,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
31,51,40,33,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
41,49,43,22,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
50,66,65,78,['Child is inteligent but needs help from guidane also']
45,38,50,42,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time', 'Child is inteligent but needs help from guidane also']"
74,68,55,50,['Child is inteligent but needs help from guidane also']
65,85,58,50,['Child is inteligent but needs help from guidane also']
75,66,50,75,['Child is inteligent but needs help from guidane also']
30,36,44,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
38,45,54,40,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
50,82,68,96,['Child is inteligent but needs help from guidane also']
75,82,96,92,['Child is very Inteligent']
25,34,45,51,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
29,45,36,30,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
32,47,54,38,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
75,86,72,76,['Child is very Inteligent']
56,96,72,80,['Child is very Inteligent']
78,92,88,84,['Child is very Inteligent']
78,86,72,76,['Child is very Inteligent']
87,70,90,72,['Child is very Inteligent']
17,36,46,51,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
30,48,57,30,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time']"
85,82,64,88,['Child is very Inteligent']
78,48,84,76,['Practice wide and wild reading to improve vocabulary']
58,72,68,80,['Child is very Inteligent']
25,38,45,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Child is inteligent but needs help from guidane also']"
22,36,49,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Child is inteligent but needs help from guidane also']"
58,68,78,72,['Child is very Inteligent']
33,44,48,49,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
75,56,58,72,['Child is very Inteligent']
23,36,45,35,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
22,32,40,40,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
16,12,28,28,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
5,8,14,28,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,44,35,36,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,45,22,37,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
88,82,72,60,['Child is very Inteligent']
92,82,70,72,['Child is very Inteligent']
74,64,50,88,['Child is inteligent but needs help from guidane also']
47,54,38,42,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
92,82,74,68,['Child is very Inteligent']
94,86,80,58,['Child is very Inteligent']
74,57,78,58,['Child is very Inteligent']
68,90,76,94,['Child is very Inteligent']
36,45,47,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
60,80,74,80,['Child is very Inteligent']
64,86,66,80,['Child is very Inteligent']
39,45,42,41,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
34,35,35,39,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
66,72,72,76,['Child is very Inteligent']
52,76,56,80,['Child is very Inteligent']
72,76,64,60,['Child is very Inteligent']
44,72,70,82,"['Practice, the more  you read the better reader you become, do feed your mind']"
24,45,47,33,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,86,40,80,"['Practice, the more  you read the better reader you become, do feed your mind']"
56,82,48,70,"['Practice, the more  you read the better reader you become, do feed your mind']"
54,64,48,84,"['Practice, the more  you read the better reader you become, do feed your mind']"
80,76,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
38,76,40,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
22,66,38,66,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
67,52,78,60,['Child is very Inteligent']
18,58,30,49,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
42,58,20,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
67,72,56,67,['Child is very Inteligent']
54,60,15,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
68,90,76,94,['Child is very Inteligent']
24,35,45,47,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
41,25,45,54,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
34,38,45,40,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
88,82,50,88,['Child is inteligent but needs help from guidane also']
37,45,25,37,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
36,45,25,37,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
36,45,32,23,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
39,41,43,35,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
44,30,40,35,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,21,41,39,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
47,54,40,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Child is inteligent but needs help from guidane also']"
56,51,48,41,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,37,48,36,"['Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
45,50,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time', 'Child is inteligent but needs help from guidane also']"
75,66,72,58,['Child is very Inteligent']
38,76,40,22,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
88,66,74,66,['Child is very Inteligent']
77,52,54,60,['Child is very Inteligent']
33,58,45,45,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
42,58,20,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
30,72,2,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,60,15,34,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
68,90,76,94,['Child is very Inteligent']
62,88,74,90,['Child is very Inteligent']
35,45,37,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Child is inteligent but needs help from guidane also']"
41,43,50,43,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Play mathematical games so that you can have fun and learn at the same time', 'Child is inteligent but needs help from guidane also']"
40,38,46,47,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
36,45,47,32,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
42,45,50,50,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Child is inteligent but needs help from guidane also']"
72,76,64,60,['Child is very Inteligent']
44,36,41,54,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice wide and wild reading to improve vocabulary', 'Practice, the more  you read the better reader you become, do feed your mind']"
54,84,50,68,['Child is inteligent but needs help from guidane also']
54,86,40,80,"['Practice, the more  you read the better reader you become, do feed your mind']"
56,82,48,70,"['Practice, the more  you read the better reader you become, do feed your mind']"
54,64,48,84,"['Practice, the more  you read the better reader you become, do feed your mind']"
80,76,36,46,"['Practice, the more  you read the better reader you become, do feed your mind', 'Play mathematical games so that you can have fun and learn at the same time']"
54,66,80,58,['Child is very Inteligent']
38,76,40,70,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
22,66,38,66,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
46,52,30,60,"['Practice, the more  you read the better reader you become, do feed your mind', 'Practice, the more  you read the better reader you become, do feed your mind']"
74,58,80,70,['Child is very Inteligent']
